title,length,rental_rate
"CHICAGO NORTH",185,4.99
"CONTROL ANTHEM",185,4.99
"DARN FORRESTER",185,4.99
"GANGS PRIDE",185,2.99
"HOME PITY",185,4.99
"MUSCLE BRIGHT",185,2.99
"POND SEATTLE",185,2.99
"SOLDIERS EVOLUTION",185,4.99
"SWEET BROTHERHOOD",185,2.99
"WORST BANGER",185,2.99
"CONSPIRACY SPIRIT",184,2.99
"CRYSTAL BREAKING",184,2.99
"KING EVOLUTION",184,4.99
"MOONWALKER FOOL",184,4.99
"SMOOCHY CONTROL",184,0.99
"SONS INTERVIEW",184,2.99
"SORORITY QUEEN",184,0.99
"THEORY MERMAID",184,0.99
"CATCH AMISTAD",183,0.99
"FRONTIER CABIN",183,4.99
"SCALAWAG DUCK",183,4.99
"WIFE TURN",183,4.99
"YOUNG LANGUAGE",183,0.99
"BAKED CLEOPATRA",182,2.99
"MONSOON CAUSE",182,4.99
"RECORDS ZORRO",182,4.99
"REDS POCUS",182,4.99
"SATURN NAME",182,4.99
"SEARCHERS WAIT",182,2.99
"ANALYZE HOOSIERS",181,2.99
"HAUNTING PIANIST",181,0.99
"HOTEL HAPPINESS",181,4.99
"INTRIGUE WORST",181,0.99
"JACKET FRISCO",181,2.99
"LAWLESS VISION",181,4.99
"LOVE SUICIDES",181,0.99
"RUNAWAY TENENBAUMS",181,0.99
"STAR OPERATION",181,2.99
"WILD APOLLO",181,0.99
"ALLEY EVOLUTION",180,2.99
"CONFIDENTIAL INTERVIEW",180,4.99
"IMPACT ALADDIN",180,0.99
"MIXED DOORS",180,2.99
"MUSSOLINI SPOILERS",180,2.99
"NASH CHOCOLAT",180,2.99
"SOMETHING DUCK",180,4.99
"ANONYMOUS HUMAN",179,0.99
"BORN SPINAL",179,4.99
"CASUALTIES ENCINO",179,4.99
"CAUSE DATE",179,2.99
"FLIGHT LIES",179,4.99
"KICK SAVANNAH",179,0.99
"POTLUCK MIXED",179,2.99
"REDEMPTION COMFORTS",179,2.99
"SLACKER LIAISONS",179,4.99
"TEXAS WATCH",179,0.99
"TORQUE BOUND",179,4.99
"VIRGIN DAISY",179,4.99
"YOUTH KICK",179,0.99
"DROP WATERFRONT",178,4.99
"EXPRESS LONELY",178,2.99
"FURY MURDER",178,0.99
"IMAGE PRINCESS",178,2.99
"INNOCENT USUAL",178,4.99
"MADNESS ATTACKS",178,0.99
"NAME DETECTIVE",178,4.99
